symbol,avg_volume,bar_count,min_date,max_date
VIVA3,2157141,1544,2019-10-11,2025-12-23
ESPA3,2132378,1221,2021-02-04,2025-12-23
NEOE3,2076761,1617,2019-07-01,2025-12-23
TEND3,2065701,2147,2017-05-04,2025-12-23
MEAL3,2044845,2724,2015-01-02,2025-12-23
EZTC3,2005474,2724,2015-01-02,2025-12-23
EGIE3,1961586,2724,2015-01-02,2025-12-23
CPFE3,1926010,2724,2015-01-02,2025-12-23
ISAE4,1894111,2723,2015-01-02,2025-12-23
SBFG3,1854980,1667,2019-04-17,2025-12-23
CSMG3,1836765,2724,2015-01-02,2025-12-23
POSI3,1698320,2724,2015-01-02,2025-12-23
PSSA3,1697072,2723,2015-01-02,2025-12-23
CURY3,1634230,1311,2020-09-21,2025-12-23
ODPV3,1631057,2723,2015-01-02,2025-12-23
BRSR6,1569643,2722,2015-01-02,2025-12-23
INTB3,1562320,1219,2021-02-08,2025-12-23
ENJU3,1499216,1277,2020-11-09,2025-12-23
GRND3,1468305,2723,2015-01-02,2025-12-23
EVEN3,1375898,2724,2015-01-02,2025-12-23
OIBR3,1317655,2721,2015-01-02,2025-12-23
AZEV4,1317138,2312,2015-01-02,2025-12-23
CAML3,1313754,2045,2017-09-28,2025-12-23
SMTO3,1291882,2724,2015-01-02,2025-12-23
KLBN4,1285075,2722,2015-01-02,2025-12-23
CMIG3,1245575,2722,2015-01-02,2025-12-23
TTEN3,1218892,1110,2021-07-16,2025-12-23
MYPK3,1218691,2724,2015-01-02,2025-12-23
PGMN3,1184584,1322,2020-09-03,2025-12-23
IGTI3,1153740,1964,2015-06-03,2025-12-23
IRBR3,1118428,2085,2017-07-31,2025-12-23
VVEO3,1087188,1095,2021-08-09,2025-12-23
BMGB4,1082616,1511,2019-11-29,2025-12-23
MILS3,1068369,2724,2015-01-02,2025-12-23
TRIS3,1045816,2567,2015-01-02,2025-12-23
GUAR3,1006333,2723,2015-01-02,2025-12-23
PLPL3,969160,1312,2020-09-18,2025-12-23
WIZC3,964607,2619,2015-06-05,2025-12-23
AZZA3,939763,2724,2015-01-02,2025-12-23
FESA4,931168,2722,2015-01-02,2025-12-23
PTBL3,917102,2721,2015-01-05,2025-12-23
TASA4,897337,2720,2015-01-02,2025-12-23
LAVV3,895899,1322,2020-09-03,2025-12-23
KEPL3,895474,2724,2015-01-02,2025-12-23
HBOR3,890620,2723,2015-01-02,2025-12-23
MDIA3,870121,2724,2015-01-02,2025-12-23
OPCT3,866935,1215,2021-02-12,2025-12-23
ARML3,813923,1102,2021-07-29,2025-12-23
JALL3,793491,1219,2021-02-08,2025-12-23
MTRE3,790401,1463,2020-02-11,2025-12-23
RANI3,783248,2313,2015-01-12,2025-12-23
SEER3,741231,2724,2015-01-02,2025-12-23
XPBR31,707696,1055,2021-10-04,2025-12-23
ETER3,664421,2722,2015-01-02,2025-12-23
TUPY3,658483,2724,2015-01-02,2025-12-23
ITUB3,642402,2723,2015-01-02,2025-12-23
AMAR3,610799,2723,2015-01-02,2025-12-23
ABCB4,604566,2724,2015-01-02,2025-12-23
LUPA3,602405,2700,2015-01-02,2025-12-23
RCSL4,587336,2698,2015-01-02,2025-12-23
VULC3,584110,2612,2015-01-02,2025-12-23
CSED3,575589,1216,2021-02-11,2025-12-23
BMOB3,550903,1216,2021-02-11,2025-12-23
TECN3,536165,2722,2015-01-02,2025-12-23
AMER3,534321,2723,2015-01-02,2025-12-23
SHUL4,530564,2717,2015-01-02,2025-12-23
MATD3,526657,1154,2021-05-13,2025-12-23
JSLG3,515905,1318,2020-09-10,2025-12-23
VLID3,514807,2724,2015-01-02,2025-12-23
TCSA3,514713,2724,2015-01-02,2025-12-23
MELK3,500822,1305,2020-09-29,2025-12-23
MDNE3,472298,1461,2020-02-13,2025-12-23
LPSB3,459038,2720,2015-01-02,2025-12-23
SOJA3,455627,1164,2021-04-30,2025-12-23
ITSA3,455205,2724,2015-01-02,2025-12-23
ORVR3,446734,1214,2021-02-17,2025-12-23
AZEV3,443240,1725,2015-01-15,2025-12-23
ROMI3,437568,2724,2015-01-02,2025-12-23
FIQE3,428333,1102,2021-07-29,2025-12-23
FHER3,424861,2724,2015-01-02,2025-12-23
DASA3,424510,2041,2015-01-02,2025-12-23
LOGG3,387114,1743,2018-12-21,2025-12-23
SYNE3,380363,2282,2015-01-12,2025-12-23
AALR3,373177,2273,2016-10-28,2025-12-23
BLAU3,360299,1172,2021-04-19,2025-12-23
LOGN3,355005,2724,2015-01-02,2025-12-23
VTRU3,345970,388,2024-06-11,2025-12-23
PNVL3,339562,2343,2015-01-02,2025-12-23
LEVE3,337225,2724,2015-01-02,2025-12-23
RCSL3,311659,2320,2015-01-02,2025-12-23
DESK3,309518,1107,2021-07-22,2025-12-23
USIM3,306023,2723,2015-01-02,2025-12-23
KLBN3,301275,2346,2016-06-08,2025-12-23
TGMA3,298889,2724,2015-01-02,2025-12-23
VITT3,296803,1077,2021-09-02,2025-12-23
TFCO4,291559,1287,2020-10-26,2025-12-23
HBRE3,291116,1227,2021-01-26,2025-12-23
POMO3,288051,2723,2015-01-02,2025-12-23
SAPR3,281468,2201,2015-05-21,2025-12-23
AGRO3,268472,2723,2015-01-02,2025-12-23
AERI3,264873,1275,2020-11-12,2025-12-23
PFRM3,261317,2724,2015-01-02,2025-12-23
PRNR3,260537,1459,2020-02-17,2025-12-23
VIVR3,250088,2715,2015-01-02,2025-12-23
PINE4,233281,2720,2015-01-02,2025-12-23
UNIP6,232899,2724,2015-01-02,2025-12-23
DEXP3,222561,2504,2015-01-05,2025-12-23
BRST3,217574,263,2024-12-05,2025-12-23
AMOB3,216281,256,2024-12-16,2025-12-23
TRAD3,214172,1103,2021-07-28,2025-12-23
FRAS3,209477,2659,2015-01-06,2025-12-23
TPIS3,195615,2724,2015-01-02,2025-12-23
PMAM3,189876,2724,2015-01-02,2025-12-23
GGBR3,188724,2724,2015-01-02,2025-12-23
RSID3,186344,2721,2015-01-02,2025-12-23
ALPK3,164700,1396,2020-05-21,2025-12-23
CSUD3,159055,2722,2015-01-02,2025-12-23
TAEE4,146754,2077,2017-05-10,2025-12-23
ALLD3,142900,1177,2021-04-12,2025-12-23
GOAU3,142039,2720,2015-01-02,2025-12-23
DMVF3,139488,1340,2020-08-10,2025-12-23
UCAS3,128093,2722,2015-01-02,2025-12-23
INEP3,120273,2369,2015-01-02,2025-12-23
MNPR3,116419,2500,2015-01-02,2025-12-23
GFSA3,101399,2724,2015-01-02,2025-12-23
