IBRA - Carteira do Dia 08/07/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
IGTI11;IGUATEMI S.A;UNT     N1;198.474.750;0,190;
INTB3;INTELBRAS;ON      NM;114.286.318;0,072;
MYPK3;IOCHP-MAXION;ON      NM;131.546.398;0,073;
RANI3;IRANI;ON      NM;106.179.855;0,033;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,158;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,385;
ITSA4;ITAUSA;PN      N1;5.856.697.902;2,702;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;442.845.595;0,621;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.279.280.090;8,281;
JALL3;JALLESMACHAD;ON      NM;96.226.077;0,015;
JHSF3;JHSF PART;ON  ED  NM;292.921.855;0,064;
JSLG3;JSL;ON      NM;63.199.829;0,016;
KEPL3;KEPLER WEBER;ON      NM;174.021.783;0,059;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,609;
LAVV3;LAVVI;ON      NM;73.950.129;0,039;
RENT3;LOCALIZA;ON  EJ  NM;956.264.719;1,559;
LOGG3;LOG COM PROP;ON      NM;47.768.612;0,041;
LREN3;LOJAS RENNER;ON  EJ  NM;1.030.587.204;0,837;
LWSA3;LWSA;ON      NM;388.793.259;0,065;
MDIA3;M.DIASBRANCO;ON      NM;66.385.773;0,071;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,136;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,232;
MRFG3;MARFRIG;ON      NM;237.618.211;0,231;
CASH3;MELIUZ;ON      NM;87.123.682;0,025;
LEVE3;METAL LEVE;ON      NM;52.865.876;0,066;
MILS3;MILLS;ON      NM;170.940.549;0,083;
BEEF3;MINERVA;ON      NM;433.214.256;0,096;
MOTV3;MOTIVA SA;ON      NM;991.920.937;0,572;
MDNE3;MOURA DUBEUX;ON      NM;51.943.755;0,053;
MOVI3;MOVIDA;ON      NM;121.834.637;0,035;
MRVE3;MRV;ON      NM;375.507.695;0,097;
MLAS3;MULTILASER;ON      NM;386.245.397;0,017;
MULT3;MULTIPLAN;ON  EJ  N2;314.311.970;0,356;
NATU3;NATURA;ON      NM;845.713.747;0,371;
NEOE3;NEOENERGIA;ON      NM;195.036.523;0,210;
OPCT3;OCEANPACT;ON      NM;126.724.185;0,037;
ODPV3;ODONTOPREV;ON      NM;252.219.521;0,123;
ONCO3;ONCOCLINICAS;ON      NM;573.410.284;0,127;
ORVR3;ORIZON;ON      NM;47.022.111;0,105;
PCAR3;P.ACUCAR-CBD;ON  ATZ NM;461.260.303;0,060;
PGMN3;PAGUE MENOS;ON      NM;196.817.622;0,028;
PETR3;PETROBRAS;ON      N2;3.483.155.534;5,123;
PETR4;PETROBRAS;PN      N2;4.410.955.873;5,958;
RECV3;PETRORECSA;ON      NM;274.981.010;0,168;
PRIO3;PETRORIO;ON      NM;779.999.989;1,372;
PETZ3;PETZ;ON      NM;295.519.280;0,047;
PLPL3;PLANOEPLANO;ON      NM;54.539.741;0,035;
PSSA3;PORTO SEGURO;ON  EJ  NM;182.560.698;0,425;
POSI3;POSITIVO TEC;ON      NM;72.725.303;0,014;
PRNR3;PRINER;ON  ES  NM;55.724.049;0,036;
QUAL3;QUALICORP;ON  ED  NM;278.971.994;0,022;
LJQQ3;QUERO-QUERO;ON      NM;195.546.894;0,021;
RADL3;RAIADROGASIL;ON  EJ  NM;1.297.567.800;0,807;
RAIZ4;RAIZEN;PN      N2;1.210.756.333;0,086;
RAPT4;RANDON PART;PN      N1;176.650.127;0,065;
RCSL3;RECRUSUL;ON;1.374.716;0,000;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,652;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;0,938;
SBSP3;SABESP;ON      NM;683.495.706;3,332;
SAPR11;SANEPAR;UNT EJ  N2;201.077.484;0,315;
SANB11;SANTANDER BR;UNT;356.586.730;0,435;
STBP3;SANTOS BRP;ON      NM;409.543.219;0,238;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,094;
SEER3;SER EDUCA;ON      NM;52.255.107;0,020;
SRNA3;SERENA;ON      NM;417.646.827;0,205;
CSNA3;SID NACIONAL;ON;727.459.637;0,249;
SIMH3;SIMPAR;ON      NM;227.030.128;0,046;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,150;
SMFT3;SMART FIT;ON      NM;328.547.988;0,321;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,356;
SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,015;
TAEE11;TAESA;UNT     N2;218.568.234;0,320;
TASA4;TAURUS ARMAS;PN      N2;73.694.380;0,021;
TGMA3;TEGMA;ON      NM;32.001.079;0,049;
VIVT3;TELEF BRASIL;ON;764.884.256;1,035;
TEND3;TENDA;ON      NM;120.609.176;0,122;
TIMS3;TIM;ON  EBG NM;806.346.600;0,759;
TOTS3;TOTVS;ON      NM;531.531.039;0,917;
TUPY3;TUPY;ON      NM;143.716.238;0,109;
UGPA3;ULTRAPAR;ON      NM;1.089.082.981;0,815;
UNIP6;UNIPAR;PNB;50.800.579;0,126;
USIM5;USIMINAS;PNA     N1;515.193.199;0,095;
VALE3;VALE;ON      NM;4.270.903.023;9,787;
VLID3;VALID;ON      NM;76.026.408;0,079;
VAMO3;VAMOS;ON      NM;485.166.826;0,083;
VBBR3;VIBRA;ON      NM;1.113.939.036;1,035;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,140;
VVEO3;VIVEO;ON      NM;178.485.735;0,009;
VULC3;VULCABRAS;ON      NM;94.135.247;0,085;
WEGE3;WEG;ON      NM;1.482.105.837;2,643;
PORT3;WILSON SONS;ON      NM;185.687.654;0,137;
YDUQ3;YDUQS PART;ON      NM;260.249.057;0,174;
Quantidade Teórica Total;;;108.273.317.064;100,000
Redutor;;;429.849.357,68267460
