symbol,date,open,high,low,close,adj_close,volume
XOM,2021-11-23,53.954,54.9864,53.7198,54.7695,54.7695,21185900
XOM,2021-11-24,54.2924,55.3942,54.2924,55.0732,55.0732,15869700
XOM,2021-11-26,52.5052,53.286,51.655,53.1385,53.1385,24979600
XOM,2021-11-29,54.2837,54.7782,53.1732,53.4335,53.4335,18946400
XOM,2021-11-30,52.4531,53.0865,51.7591,51.9152,51.9152,34979800
XOM,2021-12-01,52.8349,53.8152,51.8372,51.8719,51.8719,30630600
XOM,2021-12-02,51.8285,53.4248,51.3079,53.1645,53.1645,29216000
XOM,2021-12-03,53.7198,53.9887,52.3577,52.8262,52.8262,22014700
XOM,2021-12-06,53.5463,53.928,53.286,53.4248,53.4248,19210500
XOM,2021-12-07,54.0841,54.6828,53.8759,54.0234,54.0234,19800400
XOM,2021-12-08,54.3184,54.8216,54.0841,54.1796,54.1796,18214400
XOM,2021-12-09,53.8326,54.4572,53.6243,54.3184,54.3184,16910300
XOM,2021-12-10,54.891,54.9604,53.9887,54.6654,54.6654,17942400
XOM,2021-12-13,54.1969,54.4138,53.2253,53.4682,53.4682,17793700
XOM,2021-12-14,53.1472,54.1969,53.1125,53.3901,53.3901,22551100
XOM,2021-12-15,53.0865,53.3554,52.0627,53.1559,53.1559,19961900
XOM,2021-12-16,53.3033,54.1796,53.1819,53.2426,53.2426,21187800
XOM,2021-12-17,52.8782,53.1645,51.7851,52.0801,52.0801,44338100
XOM,2021-12-20,51.0043,51.4034,50.2842,51.3253,51.3253,21819300
XOM,2021-12-21,51.8372,52.644,51.8111,52.4878,52.4878,19798900
XOM,2021-12-22,52.349,53.2426,52.028,52.9129,52.9129,14058300
XOM,2021-12-23,53.0691,53.6504,52.9216,52.939,52.939,13543300
XOM,2021-12-27,52.8609,53.7458,52.4184,53.6938,53.6938,12593700
XOM,2021-12-28,53.7111,54.0581,53.2686,53.5202,53.5202,12781000
XOM,2021-12-29,53.338,53.4422,52.8522,53.0518,53.0518,12733600
XOM,2021-12-30,53.1125,53.4422,52.7221,52.7394,52.7394,11940300
XOM,2021-12-31,52.696,53.3294,52.6613,53.0864,53.0864,14072000
XOM,2022-01-03,53.1298,55.1773,53.1038,55.1252,55.1252,24282400
XOM,2022-01-04,55.6371,57.4243,55.6111,57.1987,57.1987,38584000
XOM,2022-01-05,57.6932,58.6562,57.6759,57.9101,57.9101,34033300
XOM,2022-01-06,58.9946,59.411,58.1877,59.2722,59.2722,30668500
XOM,2022-01-07,59.4457,60.0183,58.9772,59.758,59.758,23985400
XOM,2022-01-10,59.8361,60.0096,58.9512,59.4023,59.4023,22760300
XOM,2022-01-11,59.7667,61.9443,59.4978,61.9009,61.9009,32936100
XOM,2022-01-12,61.7187,62.3,61.285,61.7187,61.7187,23045100
XOM,2022-01-13,61.7014,62.1005,60.9987,61.2763,61.2763,21043200
XOM,2022-01-14,61.2936,62.595,61.2503,62.3521,62.3521,23012900
XOM,2022-01-18,63.1763,64.0959,62.4735,63.4018,63.4018,32841200
XOM,2022-01-19,63.9831,64.0785,62.942,63.4279,63.4279,26431600
XOM,2022-01-20,62.8986,64.521,62.6904,63.5667,63.5667,26774600
XOM,2022-01-21,63.4886,63.4886,61.632,62.6123,62.6123,35995200
XOM,2022-01-24,61.4932,63.4018,60.5649,63.1502,63.1502,41507000
XOM,2022-01-25,62.9767,65.2758,61.9356,65.0068,65.0068,39278400
XOM,2022-01-26,65.4406,65.9351,63.7575,64.3475,64.3475,35252400
XOM,2022-01-27,65.4666,65.9438,64.1913,65.1717,65.1717,29174700
XOM,2022-01-28,65.0415,65.6054,64.1566,65.3105,65.3105,30595700
XOM,2022-01-31,65.0415,66.2995,64.4342,65.9004,65.9004,36085500
XOM,2022-02-01,66.3255,70.7154,66.1694,70.1255,70.1255,61033100
XOM,2022-02-02,69.4574,70.1081,68.668,69.9433,69.9433,30299300
XOM,2022-02-03,69.4835,69.6743,68.5552,69.1278,69.1278,28529400
XOM,2022-02-04,70.1602,71.6003,70.1602,70.6287,70.6287,32197500
XOM,2022-02-07,70.3944,72.0775,69.9607,71.4789,71.4789,34949200
XOM,2022-02-08,71.3748,71.5743,69.336,69.631,69.631,34356300
XOM,2022-02-09,69.8064,70.2011,69.0432,69.2976,69.2976,40106100
XOM,2022-02-10,69.052,69.8941,68.2362,68.631,68.631,28527700
XOM,2022-02-11,68.9643,70.4555,68.6222,70.359,70.359,42002100
XOM,2022-02-14,69.8064,70.0345,67.5871,69.2801,69.2801,34652800
XOM,2022-02-15,67.4555,68.5871,67.0345,68.4117,68.4117,25075100
XOM,2022-02-16,69.1134,69.938,68.4555,68.7275,68.7275,21733800
XOM,2022-02-17,68.8415,69.4029,68.3766,68.6222,68.6222,23738800
XOM,2022-02-18,67.6836,68.5696,67.4468,67.8591,67.8591,23394800
XOM,2022-02-22,69.8853,69.9906,66.0608,67.0696,67.0696,35947800
XOM,2022-02-23,67.0696,67.9555,66.7801,67.3415,67.3415,25385000
XOM,2022-02-24,69.2976,69.3239,64.938,66.4906,66.4906,46199900
XOM,2022-02-25,67.2713,68.4117,66.8941,68.2801,68.2801,28310300
XOM,2022-02-28,67.1134,69.2362,66.8415,68.7888,68.7888,32204600
XOM,2022-03-01,69.0959,70.745,68.7099,69.4467,69.4467,40002300
XOM,2022-03-02,70.7011,72.0608,70.0169,70.6397,70.6397,44321400
XOM,2022-03-03,70.052,71.7274,69.8503,71.0871,71.0871,30196600
XOM,2022-03-04,71.0959,73.9292,70.7538,73.7625,73.7625,42802200
XOM,2022-03-07,74.4906,76.5169,73.5958,76.4204,76.4204,55207900
XOM,2022-03-08,78.1133,80.2712,74.9379,76.9993,76.9993,72082300
XOM,2022-03-09,73.7099,75.9379,71.5783,72.6222,72.6222,65466700
XOM,2022-03-10,73.6923,75.1572,72.7186,74.8765,74.8765,44644200
XOM,2022-03-11,73.7449,75.6397,73.6572,74.4905,74.4905,35303400
XOM,2022-03-14,72.859,73.2011,70.6134,71.8239,71.8239,37462600
XOM,2022-03-15,69.1397,69.4468,66.9906,67.7362,67.7362,47957900
XOM,2022-03-16,68.2538,68.9643,66.8854,67.4818,67.4818,37812300
XOM,2022-03-17,68.5783,69.4292,67.6047,69.2801,69.2801,34041900
XOM,2022-03-18,69.3503,69.6397,68.5082,69.0082,69.0082,41461500
XOM,2022-03-21,70.2801,72.3853,69.9468,72.1046,72.1046,33089300
XOM,2022-03-22,71.6046,72.1046,70.8678,71.7888,71.7888,23132200
XOM,2022-03-23,73.1046,73.9204,72.8502,72.9204,72.9204,27716300
XOM,2022-03-24,73.2099,74.2537,72.5871,73.1397,73.1397,19871600
XOM,2022-03-25,72.7362,74.9906,72.6222,74.7362,74.7362,22398300
XOM,2022-03-28,72.9555,73.0783,71.9467,72.6397,72.6397,21552400
XOM,2022-03-29,70.8853,72.359,69.9643,72.2538,72.2538,27036300
XOM,2022-03-30,72.859,73.6923,72.552,73.4906,73.4906,22079000
XOM,2022-03-31,72.6923,74.0344,72.4116,72.4467,72.4467,27861500
XOM,2022-04-01,71.9204,73.8064,71.9204,72.9116,72.9116,18671100
XOM,2022-04-04,73.2976,73.3853,71.973,72.9467,72.9467,20869400
XOM,2022-04-05,73.245,74.6221,72.4204,72.5695,72.5695,21753100
XOM,2022-04-06,73.1748,74.2976,72.7537,73.3765,73.3765,24768200
XOM,2022-04-07,73.5344,74.9467,72.552,74.6046,74.6046,26122000
XOM,2022-04-08,74.7099,76.4993,74.7099,76.1748,76.1748,24866500
XOM,2022-04-11,75.2449,75.3765,73.245,73.552,73.552,21800100
XOM,2022-04-12,75.1835,76.1572,74.8941,75.0871,75.0871,22444200
XOM,2022-04-13,75.973,76.4116,74.7274,76.1484,76.1484,19306800
XOM,2022-04-14,76.0256,77.5958,75.6397,77.0432,77.0432,24566400
XOM,2022-04-18,77.6309,77.973,76.973,77.6748,77.6748,19032300
XOM,2022-04-19,77.2011,77.7712,76.552,76.9818,76.9818,20382600
XOM,2022-04-20,77.166,77.6309,76.5783,77.1572,77.1572,20689400
XOM,2022-04-21,78.0256,78.7712,76.1309,76.3414,76.3414,29010900
XOM,2022-04-22,76.0169,77.2976,74.5607,74.6748,74.6748,23591600
